"cwhr","n"
"ADS",564
"AGS",117700
"ASC",1
"ASP",627
"BAR",20184
"BBR",19107
"BOP",28832
"BOW",126828
"COW",49397
"CPC",9719
"CRC",66988
"CRP",3773
"CSC",36375
"DFR",118441
"DOR",447
"DRI",54
"DSC",5352
"DSW",213
"EOR",48
"EPN",20707
"EUC",34
"FEW",8
"IRF",8
"JPN",18791
"JST",169
"JUN",7232
"KMC",3362
"LAC",3558
"LPN",6829
"LSG",5667
"MCH",217997
"MCP",90337
"MHC",120479
"MHW",189214
"MRI",3345
"PAS",680
"PGS",12289
"PJN",8992
"PPN",29453
"RDW",22738
"RFR",50466
"RIV",638
"SCN",4648
"SGB",65485
"SMC",382651
"URB",1944
"VIN",1091
"VOW",6372
"VRI",1429
"WFR",62092
"WTM",2680
NA,73625
