OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,severity_source,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area
21743,2020,CA,USF,MNF,AUGUST COMPLEX FIRES,ravg,8864,8/16/2020,11/11/2020,1,92D7C097-9C52-4824-A261-B0BD6F932EF3,0,1032700,3,1,NA,1298407.264,4179187009
21616,2020,CA,CDF,SCU,SCU COMPLEX,gee,5740,8/16/2020,9/11/2020,1,NA,0,396399,2,1,NA,503354.7172,1605891588
21688,2020,CA,USF,SNF,CREEK,ravg,1391,9/4/2020,12/24/2020,14,33CBB9DC-6983-4F47-B821-9C9A6CAC381D,379895,379882,8,1,NA,818087.8451,1537167706
21683,2020,CA,USF,PNF,NORTH COMPLEX,gee,1302,8/17/2020,12/3/2020,1,76D31198-0DB2-4ED3-8A95-85F24964E547,318776,318777,1,1,NA,395836.5291,1290126681
21666,2020,CA,CDF,LNU,HENNESSEY,gee,13337,8/17/2020,9/16/2020,1,Part of the LNU LIGHTNING COMPLEX,305651,305352,7,1,NA,787304.943,1235715225
21684,2020,CA,USF,SQF,CASTLE,ravg,2541,8/19/2020,1/4/2021,1,4CE00061-B897-49DC-8839-D08E040FF65D,174178,170648,7,1,NA,723127.3564,690587666
21707,2020,CA,USF,KNF,SLATER,ravg,7035,9/8/2020,12/12/2020,14,24CDAB5C-7832-4546-BD05-15CC702A0326,157270,157430,3,1,NA,431144.5261,637096051.1
21748,2020,CA,USF,SRF,RED SALMON COMPLEX,ravg,643,7/27/2020,11/19/2020,1,599BC281-404B-4F3E-BE7F-9A8F7B3E9E56,142386,143836,8,1,NA,350185.0701,582085314.1
21680,2020,CA,USF,LPF,DOLAN,ravg,2428,8/18/2020,12/31/2020,14,F0A60F88-D1D5-4D86-8105-A3A06456B357,124924,124527,7,1,NA,206053.5516,503944418.4
21641,2020,CA,USF,ANF,BOBCAT,ravg,3687,9/6/2020,10/19/2020,14,56C3E0AE-98EF-4433-863D-23A5DFF3D0C2,115796,115998,7,1,NA,357359.3025,469427166.6
21462,2020,CA,CDF,CZU,CZU LIGHTNING COMPLEX,gee,5205,8/16/2020,9/24/2020,1,NA,86509,86553.5,7,1,NA,203187.7347,350269423.9
21791,2020,CA,BLM,NOD,W-5 COLD SPRINGS,ravg,4727,8/18/2020,9/13/2020,1,0afebc32-36ee-4fa8-aec5-419c9c6ba51d,0,84817.3,7,1,NA,164735.3254,343244640.6
21756,2020,CA,NPS,BNP,CALDWELL,ravg,479,7/22/2020,9/1/2020,1,NA,80859,81224.4,7,1,NA,176044.4954,328704618.5
21667,2020,CA,CDF,LNU,GLASS,gee,15497,9/27/2020,10/20/2020,14,J. Baldwin,0,67484.3,7,1,NA,212623.3209,273099689.1
