"Predictor","Vegetation","Medan","Lower95","Upper95"
"ads_mort","Lowland.chaparral",-0.0927012,-0.20001290625,0.015100391
"ads_mort","Mixed.conifer",0.0013543,-0.097681277,0.095144496
"ads_mort","Red.fir",0.01284315,-0.0964119125,0.11848144
"ads_mort","Redwood",-0.04417718,-0.2281982375,0.1496147475
"ads_mort","Yellow.pine",-0.02105805,-0.12025174,0.0740077514999999
"tslf","Lowland.chaparral",0.31277285,-0.00150319649999992,0.6221607275
"tslf","Mixed.conifer",0.2497183,-0.08799619,0.55179423
"tslf","Red.fir",0.385834875,0.0333296710000001,0.7415595
"tslf","Redwood",0.5228875,0.09742266,1.2044166
"tslf","Yellow.pine",0.3158793,-0.0191159346,0.6215504025
"vpd","Lowland.chaparral",0.833296,0.313236825,1.36543935
"vpd","Mixed.conifer",0.592288,0.0100552250000002,1.1044097225
"vpd","Red.fir",0.700713,0.0414123925000002,1.28674455025
"vpd","Redwood",1.655532,0.74640984475,2.68418305
"vpd","Yellow.pine",0.9380875,0.3524897,1.5062348
"windspd","Lowland.chaparral",-0.044021,-0.2501933125,0.1538843575
"windspd","Mixed.conifer",0.42345835,0.22250473475,0.618098305
"windspd","Red.fir",0.465349805,0.1975391025,0.731978675
"windspd","Redwood",-0.4003725,-0.704906525,-0.114843625
"windspd","Yellow.pine",0.3120553,0.0874485950000001,0.531045325
